,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,80,ZA,1554325290,77,-34.42,19.24,61.0,2.93
1,Ushuaia,75,AR,1554321600,75,-54.81,-68.31,46.4,34.45
2,Dikson,76,RU,1554325922,100,73.51,80.55,23.58,16.02
3,Kavieng,100,PG,1554325923,100,-2.57,150.8,80.1,7.18
4,Mahebourg,75,MU,1554325744,88,-20.41,57.7,78.8,3.36
5,Ongandjera,0,NA,1554325925,36,-17.88,15.07,77.31,8.63
6,Saint-Philippe,75,CA,1554325916,81,45.36,-73.48,46.99,6.93
7,Victoria,75,BN,1554323400,94,5.28,115.24,77.0,2.82
8,Punta Arenas,75,CL,1554325349,52,-53.16,-70.91,44.6,39.15
9,Bambous Virieux,75,MU,1554325744,88,-20.34,57.76,78.8,3.36
10,Belmonte,0,PT,1554325239,68,40.36,-7.35,41.0,1.01
11,Albany,20,US,1554325925,32,42.65,-73.75,54.0,21.92
12,New Norfolk,75,AU,1554325881,80,-42.78,147.06,43.0,3.36
13,Busselton,56,AU,1554325807,55,-33.64,115.35,63.0,18.59
14,Jumla,0,NP,1554325936,92,29.28,82.18,27.18,2.26
15,Ostersund,75,SE,1554322800,52,63.18,14.64,41.0,6.93
16,Port Alfred,12,ZA,1554325911,94,-33.59,26.89,64.99,1.01
17,Puerto Ayora,40,EC,1554325240,66,-0.74,-90.35,87.8,16.11
18,Hobart,75,AU,1554325881,80,-42.88,147.33,43.0,3.36
19,Whitehorse,90,CA,1554325326,92,60.72,-135.06,26.01,12.75
20,Leningradskiy,20,RU,1554325943,93,69.38,178.42,7.2,17.02
21,Coquimbo,0,CL,1554321600,56,-29.95,-71.34,69.8,12.75
22,San Lorenzo,90,PY,1554321600,94,-25.34,-57.51,77.0,2.24
23,Zlobin,20,HR,1554325925,81,45.29,14.65,53.6,1.12
24,Oranjemund,68,ZA,1554325949,94,-28.55,16.43,59.4,7.4
25,Rikitea,12,PF,1554325950,100,-23.12,-134.97,74.7,20.49
26,Kamina,32,CD,1554325951,80,-8.74,25.0,71.73,5.39
27,Provideniya,40,RU,1554323400,73,64.42,-173.23,26.6,17.9
28,Prince Rupert,1,CA,1554321600,54,54.32,-130.32,53.6,5.82
29,Komsomolskiy,92,RU,1554325955,89,67.55,63.78,24.48,3.27
30,Guane,12,CU,1554325956,52,22.2,-84.09,85.5,6.06
31,Castro,90,CL,1554321600,100,-42.48,-73.76,50.0,19.46
32,Yulara,0,AU,1554321600,28,-25.24,130.99,59.0,5.82
33,Longyearbyen,40,NO,1554321000,84,78.22,15.63,8.6,5.82
34,Mount Gambier,90,AU,1554321600,87,-37.83,140.78,53.6,8.05
35,Kapaa,40,US,1554325406,53,22.08,-159.32,77.0,11.41
36,East London,32,ZA,1554325693,100,-33.02,27.91,72.0,25.75
37,Ardon,90,RU,1554321600,75,43.18,44.31,42.8,2.48
38,Sungaipenuh,24,ID,1554325966,96,-2.08,101.38,67.23,1.36
39,Constitucion,5,MX,1554325815,9,23.99,-104.67,77.0,14.99
40,Avarua,92,CK,1554323400,74,-21.21,-159.78,80.6,5.82
41,Rampur,0,IN,1554325970,71,28.8,79.03,70.47,2.71
42,Port Elizabeth,1,US,1554325949,20,39.31,-74.98,68.0,18.34
43,Tautira,40,PF,1554325945,70,-17.73,-149.15,87.8,10.29
44,Thompson,40,CA,1554321600,44,55.74,-97.86,17.6,10.29
45,Masunga,0,BW,1554325974,56,-20.62,27.45,66.69,14.23
46,Bethel,1,US,1554321360,74,60.79,-161.76,37.4,19.46
47,Huoqiu,48,CN,1554325977,78,32.34,116.27,47.52,4.16
48,Nautla,36,MX,1554325978,100,20.22,-96.78,72.99,8.08
49,Geraldton,75,CA,1554324420,38,49.72,-86.95,26.6,14.99
50,Sinnamary,92,GF,1554325980,93,5.38,-52.96,80.64,12.88
51,Manaure,20,CO,1554321600,66,11.78,-72.45,86.0,18.34
52,Iskateley,44,RU,1554325983,95,67.68,53.15,25.92,12.66
53,Primorsko-Akhtarsk,36,RU,1554325984,100,46.05,38.18,40.59,8.19
54,Ruteng,8,ID,1554325985,93,-8.61,120.46,68.31,2.26
55,Fairbanks,20,US,1554325618,32,64.84,-147.72,26.01,14.99
56,Ossora,92,RU,1554325988,95,59.24,163.07,32.04,19.37
57,Bredasdorp,44,ZA,1554321600,93,-34.53,20.04,59.0,5.82
58,Norman Wells,75,CA,1554321600,65,65.28,-126.83,3.2,18.34
59,Vaini,0,IN,1554325992,91,15.34,74.49,68.31,1.25
60,Yellowknife,20,CA,1554325927,54,62.45,-114.38,7.0,11.41
61,Macusani,92,PE,1554325994,100,-14.07,-70.43,54.72,2.37
62,Qaanaaq,64,GL,1554325995,88,77.48,-69.36,11.97,5.95
63,Canillo,88,FR,1554325921,47,42.57,1.6,42.01,1.92
64,Montesarchio,0,IT,1554325985,81,41.06,14.64,55.99,5.82
65,Saint George,75,GR,1554324600,75,39.45,22.34,46.4,5.82
66,Buchanan,75,LR,1554323400,88,5.88,-10.05,78.8,6.4
67,Kaitangata,56,NZ,1554326001,65,-46.28,169.85,50.58,6.4
68,Nanortalik,68,GL,1554326002,100,60.14,-45.24,31.5,30.78
69,Kropotkin,0,RU,1554325218,74,45.43,40.58,34.0,7.52
70,Cidreira,36,BR,1554326005,86,-30.17,-50.22,77.04,1.81
71,Gigmoto,88,PH,1554326006,100,13.78,124.39,77.4,8.08
72,Faanui,12,PF,1554326007,100,-16.48,-151.75,84.33,9.98
73,Saldanha,0,PT,1554326008,56,41.42,-6.55,41.49,8.63
74,Guerrero Negro,0,MX,1554326009,53,27.97,-114.04,70.2,11.65
75,San Patricio,68,PY,1554326011,88,-26.98,-56.83,77.85,2.48
76,Alofi,40,NU,1554321600,74,-19.06,-169.92,80.6,8.05
77,Mataura,64,NZ,1554325807,88,-46.19,168.86,51.01,14.67
78,Zhezkazgan,0,KZ,1554325870,85,47.8,67.71,40.41,5.73
79,Biala Podlaska,0,PL,1554323400,39,52.03,23.12,44.6,11.18
80,Kamsack,1,CA,1554321600,31,51.56,-101.9,35.6,6.93
81,Saint-Augustin,32,FR,1554325942,81,44.83,-0.61,44.01,10.29
82,Beringovskiy,92,RU,1554326019,98,63.05,179.32,28.17,20.04
83,Moose Factory,90,CA,1554324660,79,51.26,-80.61,21.2,20.8
84,Ahuimanu,20,US,1554325843,48,21.44,-157.84,82.4,12.75
85,Cedral,0,MX,1554326023,27,23.82,-100.72,77.67,7.29
86,Sorland,75,NO,1554322800,86,67.67,12.69,37.4,34.45
87,Namibe,36,AO,1554326025,100,-15.19,12.15,79.47,8.86
88,Airai,80,TL,1554326026,79,-8.93,125.41,69.57,1.36
89,Cockburn Town,0,TC,1554326027,99,21.46,-71.14,79.65,10.65
90,Nantucket,1,US,1554325972,70,41.28,-70.1,54.0,23.04
91,Flinders,90,AU,1554325900,100,-34.58,150.85,63.0,13.87
92,Tondano,20,ID,1554323400,94,1.3,124.91,75.2,2.24
93,San Cristobal,90,EC,1554325319,93,-0.39,-78.55,57.2,10.29
94,Itarema,92,BR,1554326033,92,-2.92,-39.92,78.93,6.17
95,Carutapera,92,BR,1554326034,100,-1.2,-46.02,75.33,4.72
96,Lac du Bonnet,0,CA,1554325827,43,50.25,-96.06,32.0,11.99
97,Kodiak,75,US,1554326010,13,39.95,-94.76,66.0,16.11
98,Bluff,0,AU,1554326038,81,-23.58,149.07,65.88,11.43
99,Lompoc,40,US,1554326038,68,34.64,-120.46,64.99,11.41
100,Meulaboh,24,ID,1554326040,100,4.14,96.13,78.93,4.16
101,Karratha,0,AU,1554326041,65,-20.74,116.85,74.25,10.76
102,Hasaki,75,JP,1554325476,100,35.73,140.83,32.0,2.24
103,Nikolskoye,0,RU,1554325836,34,59.7,30.79,39.99,6.71
104,Hithadhoo,36,MV,1554326045,100,-0.6,73.08,79.74,4.38
105,Bosaso,0,SO,1554326046,100,11.28,49.18,79.47,5.61
106,Peoria,75,US,1554325778,41,40.69,-89.59,57.99,12.75
107,Ponta do Sol,76,BR,1554326048,84,-20.63,-46.0,71.55,4.83
108,Souillac,8,FR,1554325840,93,45.6,-0.6,41.0,2.24
109,Mar del Plata,24,AR,1554326051,39,-46.43,-67.52,66.15,16.8
110,Vestmannaeyjar,92,IS,1554326052,86,63.44,-20.27,41.22,25.19
111,Rio Gallegos,20,AR,1554321600,45,-51.62,-69.22,48.2,25.28
112,Tuktoyaktuk,90,CA,1554321600,77,69.44,-133.03,-0.41,16.11
113,Davila,68,PH,1554326055,99,18.47,120.58,77.67,11.65
114,Jamestown,68,AU,1554326057,67,-33.21,138.6,57.87,5.5
115,Kaeo,12,NZ,1554325684,89,-35.1,173.78,64.0,10.31
116,Narsaq,20,GL,1554324600,58,60.91,-46.05,28.4,13.87
117,Godda,0,IN,1554326060,74,24.83,87.21,69.93,7.74
118,Madingou,48,CG,1554326061,98,-4.17,13.56,73.71,1.59
119,Naantali,36,FI,1554325879,52,60.45,22.03,43.0,6.93
120,Charlottesville,1,US,1554326028,16,38.03,-78.48,73.4,4.7
121,Cherskiy,0,RU,1554326065,65,68.75,161.3,20.25,2.71
122,Menongue,88,AO,1554326066,29,-14.66,17.68,74.16,3.49
123,Lebu,75,ET,1554325200,72,8.96,38.73,59.0,2.24
124,Lasa,40,CY,1554324600,87,34.92,32.53,57.2,5.82
125,Tocopilla,0,CL,1554325976,88,-22.09,-70.2,66.15,4.05
126,Grandview,90,US,1554326100,39,38.89,-94.53,68.0,9.17
127,Vanimo,36,PG,1554326072,99,-2.67,141.3,82.98,15.01
128,Atuona,48,PF,1554326073,100,-9.8,-139.03,81.63,15.35
129,Campbell River,90,CA,1554325232,93,50.02,-125.24,50.0,4.7
130,Saskylakh,56,RU,1554326076,83,71.97,114.09,21.87,5.39
131,Kurilsk,48,RU,1554326077,96,45.23,147.88,28.35,19.71
132,Cap Malheureux,75,MU,1554326043,88,-19.98,57.61,78.8,3.36
133,Vila Velha,75,BR,1554325687,78,-3.71,-38.6,81.0,5.82
134,Tabou,76,CI,1554326080,100,4.42,-7.36,82.8,11.65
135,Luderitz,0,NA,1554326081,87,-26.65,15.16,58.77,11.43
136,Nadym,8,RU,1554326082,85,65.53,72.51,23.85,6.17
137,Upernavik,80,GL,1554326084,88,72.79,-56.15,25.38,42.97
138,Hilo,20,US,1554325996,73,19.71,-155.08,81.0,8.05
139,Tura,0,IN,1554326086,90,25.52,90.21,64.8,5.61
140,Fredericksburg,20,US,1554325832,16,38.3,-77.46,73.4,11.41
141,Firovo,0,RU,1554326088,84,57.48,33.7,28.8,7.85
142,Ust-Kuyga,0,RU,1554326089,59,70.0,135.55,1.35,4.05
143,Talnakh,68,RU,1554326091,87,69.49,88.39,17.19,4.16
144,Cape Town,0,ZA,1554325991,88,-33.93,18.42,64.99,3.36
145,Agramonte,20,CU,1554321000,58,22.68,-81.12,86.0,14.99
146,Japura,44,ID,1554326094,95,-0.42,102.29,73.8,1.92
147,Labuhan,32,ID,1554326095,95,-2.54,115.51,70.92,0.69
148,Plettenberg Bay,56,ZA,1554326097,91,-34.05,23.37,66.69,8.3
149,Moranbah,0,AU,1554326098,72,-22.0,148.04,67.68,15.35
150,Khatanga,92,RU,1554326099,91,71.98,102.47,16.38,10.65
151,Price,1,US,1554326044,50,39.6,-110.81,53.6,4.7
152,Harper,90,US,1554325965,88,30.3,-99.24,66.99,9.17
153,Itamaraca,40,BR,1554321600,74,-7.75,-34.83,84.2,8.05
154,Lavrentiya,20,RU,1554326104,95,65.58,-170.99,21.42,16.58
155,Hamilton,20,CA,1554326046,33,43.26,-79.87,46.0,27.51
156,Shizukuishi,20,JP,1554326107,58,39.7,140.98,32.94,5.61
157,Arraial do Cabo,0,BR,1554321600,65,-22.97,-42.02,80.6,12.75
158,Cabo San Lucas,5,MX,1554325836,42,22.89,-109.91,89.01,11.41
159,Maldonado,20,UY,1554321600,68,-34.91,-54.96,66.2,11.41
160,Yarmouth,40,GB,1554326109,86,50.71,-1.5,41.0,6.93
161,Carnarvon,0,ZA,1554326113,29,-30.97,22.13,60.12,9.19
162,Wheatley,1,CA,1554326095,25,42.09,-82.46,55.0,14.99
163,Georgetown,20,GY,1554321600,74,6.8,-58.16,86.0,16.11
164,Nouadhibou,20,MR,1554321600,72,20.93,-17.03,68.0,10.29
165,Iqaluit,75,CA,1554325924,78,63.75,-68.52,8.6,4.7
166,Kahului,20,US,1554326113,73,20.89,-156.47,80.6,16.11
167,Tasiilaq,0,GL,1554324600,92,65.61,-37.64,30.2,17.22
168,Muyezerskiy,32,RU,1554326122,77,63.93,31.65,33.12,8.19
169,Najran,0,SA,1554321600,39,17.54,44.22,78.8,6.93
170,Kudahuvadhoo,0,MV,1554326124,100,2.67,72.89,82.98,4.5
171,Chokurdakh,0,RU,1554326125,55,70.62,147.9,-0.64,2.93
172,North Platte,1,US,1554325933,54,41.12,-100.77,55.4,13.87
173,Acucena,75,BR,1554321600,78,-19.07,-42.55,80.6,2.24
174,Batemans Bay,88,AU,1554325784,81,-35.71,150.18,64.0,5.95
175,Nioro,32,GM,1554326130,46,13.79,-15.05,85.77,3.94
176,Chuy,0,UY,1554326131,84,-33.69,-53.46,68.4,9.64
177,Dubna,8,RU,1554326132,81,56.76,37.14,25.2,3.04
178,Kandrian,92,PG,1554326133,100,-6.21,149.55,75.33,2.93
179,Namatanai,80,PG,1554326135,100,-3.66,152.44,82.08,6.17
180,Butaritari,92,KI,1554326136,100,3.07,172.79,77.67,1.59
181,Kyela,88,MW,1554326137,92,-9.6,33.87,66.6,2.37
182,Praia,75,BR,1554321600,65,-20.25,-43.81,77.0,8.05
183,Awjilah,0,LY,1554326139,43,29.14,21.3,61.56,7.18
184,Cayenne,75,GF,1554323400,69,4.94,-52.33,82.4,12.75
185,Ust-Kulom,12,RU,1554326142,86,61.69,53.69,27.18,6.06
186,Kuytun,20,RU,1554326143,69,54.34,101.51,21.78,3.94
187,Eureka,90,US,1554326012,93,40.8,-124.16,57.0,4.72
188,Klyuchi,68,RU,1554326146,50,52.25,79.17,44.28,12.44
189,Ostrovnoy,24,RU,1554326147,87,68.05,39.51,27.63,13.56
